,importance,BasePair
C2'-C2',29,AA
C2'-C8,35,AA
C2'-O3',35,AA
C2'-N1,35,AA
C2'-C5',35,AA
C2'-O4',34,AA
C2'-C4,34,AA
C2'-OP1,34,AA
C2'-N9,34,AA
C2'-N6,35,AA
C2'-C2,36,AA
C2'-C1',34,AA
C2'-C6,33,AA
C2'-N3,11,AA
C2'-O5',33,AA
C2'-C3',37,AA
C2'-C5,36,AA
C2'-OP2,36,AA
C2'-N7,36,AA
C2'-C4',37,AA
C2'-P,37,AA
C2'-O2',40,AA
C8-C2',24,AA
C8-C8,38,AA
C8-O3',41,AA
C8-N1,41,AA
C8-C5',41,AA
C8-O4',6,AA
C8-C4,4,AA
C8-OP1,9,AA
C8-N9,43,AA
C8-N6,5,AA
C8-C2,43,AA
C8-C1',45,AA
C8-C6,31,AA
C8-N3,45,AA
C8-O5',21,AA
C8-C3',46,AA
C8-C5,46,AA
C8-OP2,46,AA
C8-N7,46,AA
C8-C4',14,AA
C8-P,13,AA
C8-O2',44,AA
O3'-C2',5,AA
O3'-C8,44,AA
O3'-O3',4,AA
O3'-N1,9,AA
O3'-C5',39,AA
O3'-O4',39,AA
O3'-C4,39,AA
O3'-OP1,47,AA
O3'-N9,28,AA
O3'-N6,23,AA
O3'-C2,47,AA
O3'-C1',47,AA
O3'-C6,11,AA
O3'-N3,48,AA
O3'-O5',48,AA
O3'-C3',32,AA
O3'-C5,15,AA
O3'-OP2,50,AA
O3'-N7,50,AA
O3'-C4',50,AA
O3'-P,28,AA
O3'-O2',19,AA
N1-C2',39,AA
N1-C8,22,AA
N1-O3',23,AA
N1-N1,11,AA
N1-C5',52,AA
N1-O4',52,AA
N1-C4,52,AA
N1-OP1,52,AA
N1-N9,51,AA
N1-N6,4,AA
N1-C2,13,AA
N1-C1',54,AA
N1-C6,18,AA
N1-N3,32,AA
N1-O5',39,AA
N1-C3',56,AA
N1-C5,43,AA
N1-OP2,62,AA
N1-N7,16,AA
N1-C4',57,AA
N1-P,10,AA
N1-O2',33,AA
C5'-C2',45,AA
C5'-C8,31,AA
C5'-O3',53,AA
C5'-N1,65,AA
C5'-C5',58,AA
C5'-O4',66,AA
C5'-C4,61,AA
C5'-OP1,58,AA
C5'-N9,67,AA
C5'-N6,58,AA
C5'-C2,68,AA
C5'-C1',58,AA
C5'-C6,53,AA
C5'-N3,69,AA
C5'-O5',60,AA
C5'-C3',70,AA
C5'-C5,60,AA
C5'-OP2,5,AA
C5'-N7,8,AA
C5'-C4',60,AA
C5'-P,72,AA
C5'-O2',29,AA
O4'-C2',63,AA
O4'-C8,64,AA
O4'-O3',64,AA
O4'-N1,64,AA
O4'-C5',64,AA
O4'-O4',25,AA
O4'-C4,63,AA
O4'-OP1,65,AA
O4'-N9,76,AA
O4'-N6,66,AA
O4'-C2,12,AA
O4'-C1',77,AA
O4'-C6,21,AA
O4'-N3,78,AA
O4'-O5',20,AA
O4'-C3',67,AA
O4'-C5,13,AA
O4'-OP2,68,AA
O4'-N7,69,AA
O4'-C4',69,AA
O4'-P,70,AA
O4'-O2',81,AA
C4-C2',28,AA
