,importance,BasePair
C2'-C2',88,AC
C2'-O3',87,AC
C2'-N1,86,AC
C2'-C5',26,AC
C2'-O4',38,AC
C2'-C4,38,AC
C2'-OP1,38,AC
C2'-C2,38,AC
C2'-C1',38,AC
C2'-O2,37,AC
C2'-N3,8,AC
C2'-C6,33,AC
C2'-O5',22,AC
C2'-C3',37,AC
C2'-C5,39,AC
C2'-OP2,39,AC
C2'-C4',41,AC
C2'-P,40,AC
C2'-N4,39,AC
C2'-O2',39,AC
C8-C2',33,AC
C8-O3',40,AC
C8-N1,40,AC
C8-C5',43,AC
C8-O4',43,AC
C8-C4,32,AC
C8-OP1,36,AC
C8-C2,16,AC
C8-C1',45,AC
C8-O2,25,AC
C8-N3,45,AC
C8-C6,17,AC
C8-O5',22,AC
C8-C3',46,AC
C8-C5,6,AC
C8-OP2,31,AC
C8-C4',47,AC
C8-P,47,AC
C8-N4,48,AC
C8-O2',29,AC
O3'-C2',30,AC
O3'-O3',48,AC
O3'-N1,19,AC
O3'-C5',20,AC
O3'-O4',41,AC
O3'-C4,30,AC
O3'-OP1,34,AC
O3'-C2,42,AC
O3'-C1',28,AC
O3'-O2,41,AC
O3'-N3,30,AC
O3'-C6,19,AC
O3'-O5',40,AC
O3'-C3',9,AC
O3'-C5,43,AC
O3'-OP2,23,AC
O3'-C4',15,AC
O3'-P,49,AC
O3'-N4,24,AC
O3'-O2',49,AC
N1-C2',5,AC
N1-O3',24,AC
N1-N1,7,AC
N1-C5',50,AC
N1-O4',13,AC
N1-C4,44,AC
N1-OP1,45,AC
N1-C2,45,AC
N1-C1',42,AC
N1-O2,10,AC
N1-N3,1,AC
N1-C6,29,AC
N1-O5',16,AC
N1-C3',51,AC
N1-C5,3,AC
N1-OP2,9,AC
N1-C4',52,AC
N1-P,52,AC
N1-N4,52,AC
N1-O2',63,AC
C5'-C2',53,AC
C5'-O3',53,AC
C5'-N1,16,AC
C5'-C5',54,AC
C5'-O4',56,AC
C5'-C4,17,AC
C5'-OP1,56,AC
C5'-C2,56,AC
C5'-C1',55,AC
C5'-O2,11,AC
C5'-N3,57,AC
C5'-C6,54,AC
C5'-O5',54,AC
C5'-C3',58,AC
C5'-C5,55,AC
C5'-OP2,26,AC
C5'-C4',60,AC
C5'-P,12,AC
C5'-N4,64,AC
C5'-O2',64,AC
O4'-C2',64,AC
O4'-O3',64,AC
O4'-N1,63,AC
O4'-C5',14,AC
O4'-O4',65,AC
O4'-C4,66,AC
O4'-OP1,66,AC
O4'-C2,71,AC
O4'-C1',66,AC
O4'-O2,15,AC
O4'-N3,67,AC
O4'-C6,31,AC
O4'-O5',67,AC
O4'-C3',67,AC
O4'-C5,27,AC
O4'-OP2,67,AC
O4'-C4',64,AC
O4'-P,66,AC
O4'-N4,68,AC
O4'-O2',61,AC
C4-C2',69,AC
C4-O3',62,AC
C4-N1,3,AC
C4-C5',70,AC
C4-O4',81,AC
C4-C4,55,AC
C4-OP1,72,AC
C4-C2,1,AC
C4-C1',8,AC
C4-O2,73,AC
C4-N3,28,AC
C4-C6,8,AC
C4-O5',74,AC
C4-C3',23,AC
C4-C5,74,AC
C4-OP2,31,AC
C4-C4',27,AC
C4-P,75,AC
C4-N4,5,AC
C4-O2',71,AC
OP1-C2',77,AC
OP1-O3',23,AC
OP1-N1,25,AC
OP1-C5',33,AC
OP1-O4',78,AC
OP1-C4,12,AC
OP1-OP1,78,AC
OP1-C2,27,AC
OP1-C1',6,AC
OP1-O2,18,AC
OP1-N3,30,AC
OP1-C6,2,AC
OP1-O5',82,AC
OP1-C3',70,AC
OP1-C5,26,AC
OP1-OP2,83,AC
OP1-C4',83,AC
OP1-P,20,AC
OP1-N4,23,AC
OP1-O2',80,AC
N9-C2',81,AC
N9-O3',28,AC
N9-N1,22,AC
N9-C5',81,AC
N9-O4',70,AC
N9-C4,26,AC
N9-OP1,70,AC
N9-C2,19,AC
N9-C1',70,AC
N9-O2,69,AC
N9-N3,69,AC
N9-C6,68,AC
N9-O5',62,AC
N9-C3',24,AC
N9-C5,76,AC
N9-OP2,15,AC
N9-C4',29,AC
N9-P,77,AC
N9-N4,77,AC
N9-O2',2,AC
N6-C2',3,AC
N6-O3',24,AC
N6-N1,1,AC
N6-C5',79,AC
N6-O4',7,AC
N6-C4,5,AC
N6-OP1,32,AC
N6-C2,14,AC
N6-C1',84,AC
N6-O2,5,AC
N6-N3,20,AC
N6-C6,4,AC
N6-O5',36,AC
N6-C3',46,AC
N6-C5,48,AC
N6-OP2,49,AC
N6-C4',56,AC
N6-P,50,AC
N6-N4,18,AC
N6-O2',1,AC
C2-C2',29,AC
C2-O3',72,AC
C2-N1,46,AC
C2-C5',74,AC
C2-O4',16,AC
C2-C4,15,AC
C2-OP1,15,AC
C2-C2,65,AC
C2-C1',17,AC
C2-O2,29,AC
C2-N3,4,AC
C2-C6,7,AC
C2-O5',9,AC
C2-C3',44,AC
C2-C5,19,AC
C2-OP2,85,AC
C2-C4',44,AC
C2-P,43,AC
C2-N4,2,AC
C2-O2',47,AC
C1'-C2',11,AC
C1'-O3',19,AC
C1'-N1,51,AC
C1'-C5',53,AC
C1'-O4',52,AC
C1'-C4,34,AC
C1'-OP1,60,AC
C1'-C2,60,AC
C1'-C1',61,AC
C1'-O2,61,AC
C1'-N3,60,AC
C1'-C6,44,AC
C1'-O5',41,AC
C1'-C3',21,AC
