,importance,BasePair
C2'-C2',21,AG
C2'-C8,42,AG
C2'-O3',42,AG
C2'-N1,42,AG
C2'-C5',42,AG
C2'-O4',42,AG
C2'-C4,41,AG
C2'-OP1,12,AG
C2'-O6,20,AG
C2'-N9,41,AG
C2'-C2,3,AG
C2'-N2,40,AG
C2'-C1',8,AG
C2'-C6,35,AG
C2'-N3,40,AG
C2'-O5',40,AG
C2'-C3',41,AG
C2'-C5,43,AG
C2'-OP2,43,AG
C2'-N7,43,AG
C2'-C4',43,AG
C2'-P,47,AG
C2'-O2',44,AG
C8-C2',47,AG
C8-C8,27,AG
C8-O3',48,AG
C8-N1,48,AG
C8-C5',49,AG
C8-O4',49,AG
C8-C4,48,AG
C8-OP1,32,AG
C8-O6,50,AG
C8-N9,6,AG
C8-C2,51,AG
C8-N2,50,AG
C8-C1',51,AG
C8-C6,53,AG
C8-N3,53,AG
C8-O5',53,AG
C8-C3',53,AG
C8-C5,52,AG
C8-OP2,28,AG
C8-N7,52,AG
C8-C4',13,AG
C8-P,4,AG
C8-O2',13,AG
O3'-C2',9,AG
O3'-C8,46,AG
O3'-O3',46,AG
O3'-N1,40,AG
O3'-C5',54,AG
O3'-O4',45,AG
O3'-C4,45,AG
O3'-OP1,54,AG
O3'-O6,54,AG
O3'-N9,54,AG
O3'-C2,16,AG
O3'-N2,45,AG
O3'-C1',45,AG
O3'-C6,35,AG
O3'-N3,56,AG
O3'-O5',56,AG
O3'-C3',15,AG
O3'-C5,23,AG
O3'-OP2,36,AG
O3'-N7,55,AG
O3'-C4',55,AG
O3'-P,55,AG
O3'-O2',57,AG
N1-C2',58,AG
N1-C8,65,AG
N1-O3',7,AG
N1-N1,8,AG
N1-C5',58,AG
N1-O4',7,AG
N1-C4,23,AG
N1-OP1,57,AG
N1-O6,59,AG
N1-N9,4,AG
N1-C2,38,AG
N1-N2,9,AG
N1-C1',31,AG
N1-C6,59,AG
N1-N3,17,AG
N1-O5',61,AG
N1-C3',59,AG
N1-C5,31,AG
N1-OP2,60,AG
N1-N7,3,AG
N1-C4',61,AG
N1-P,63,AG
N1-O2',63,AG
C5'-C2',18,AG
C5'-C8,19,AG
C5'-O3',4,AG
C5'-N1,15,AG
C5'-C5',65,AG
C5'-O4',65,AG
C5'-C4,65,AG
C5'-OP1,66,AG
C5'-O6,66,AG
C5'-N9,67,AG
C5'-C2,67,AG
C5'-N2,30,AG
C5'-C1',70,AG
C5'-C6,70,AG
C5'-N3,71,AG
C5'-O5',70,AG
C5'-C3',68,AG
C5'-C5,12,AG
C5'-OP2,30,AG
C5'-N7,67,AG
C5'-C4',64,AG
C5'-P,71,AG
C5'-O2',71,AG
O4'-C2',30,AG
O4'-C8,72,AG
O4'-O3',17,AG
O4'-N1,22,AG
O4'-C5',74,AG
O4'-O4',74,AG
O4'-C4,39,AG
O4'-OP1,74,AG
O4'-O6,74,AG
O4'-N9,35,AG
O4'-C2,7,AG
O4'-N2,31,AG
O4'-C1',37,AG
O4'-C6,10,AG
O4'-N3,73,AG
O4'-O5',73,AG
O4'-C3',73,AG
O4'-C5,33,AG
O4'-OP2,33,AG
O4'-N7,75,AG
O4'-C4',24,AG
O4'-P,75,AG
O4'-O2',75,AG
C4-C2',73,AG
C4-C8,76,AG
C4-O3',82,AG
C4-N1,82,AG
C4-C5',82,AG
C4-O4',83,AG
C4-C4,83,AG
C4-OP1,83,AG
C4-O6,22,AG
C4-N9,84,AG
C4-C2,84,AG
C4-N2,1,AG
C4-C1',77,AG
C4-C6,34,AG
C4-N3,78,AG
C4-O5',78,AG
C4-C3',78,AG
C4-C5,78,AG
C4-OP2,18,AG
C4-N7,4,AG
C4-C4',79,AG
C4-P,79,AG
C4-O2',81,AG
OP1-C2',80,AG
OP1-C8,85,AG
OP1-O3',13,AG
OP1-N1,18,AG
OP1-C5',5,AG
OP1-O4',85,AG
OP1-C4,80,AG
OP1-OP1,90,AG
OP1-O6,15,AG
OP1-N9,22,AG
OP1-C2,19,AG
OP1-N2,19,AG
OP1-C1',92,AG
OP1-C6,33,AG
OP1-N3,29,AG
OP1-O5',86,AG
OP1-C3',90,AG
OP1-C5,37,AG
OP1-OP2,18,AG
OP1-N7,22,AG
OP1-C4',90,AG
OP1-P,87,AG
OP1-O2',88,AG
N9-C2',93,AG
N9-C8,3,AG
N9-O3',93,AG
N9-N1,5,AG
N9-C5',93,AG
N9-O4',8,AG
N9-C4,89,AG
N9-OP1,89,AG
N9-O6,91,AG
N9-N9,91,AG
N9-C2,91,AG
N9-N2,21,AG
N9-C1',81,AG
N9-C6,56,AG
N9-N3,17,AG
N9-O5',44,AG
N9-C3',44,AG
N9-C5,1,AG
N9-OP2,26,AG
N9-N7,25,AG
N9-C4',54,AG
N9-P,50,AG
N9-O2',34,AG
N6-C2',28,AG
N6-C8,92,AG
N6-O3',5,AG
N6-N1,24,AG
N6-C5',34,AG
N6-O4',92,AG
N6-C4,92,AG
N6-OP1,43,AG
N6-O6,15,AG
N6-N9,51,AG
N6-C2,25,AG
N6-N2,39,AG
N6-C1',59,AG
N6-C6,60,AG
N6-N3,24,AG
N6-O5',46,AG
N6-C3',24,AG
N6-C5,6,AG
N6-OP2,22,AG
N6-N7,3,AG
N6-C4',10,AG
N6-P,19,AG
N6-O2',86,AG
C2-C2',25,AG
C2-C8,87,AG
C2-O3',94,AG
C2-N1,32,AG
C2-C5',89,AG
C2-O4',95,AG
C2-C4,52,AG
C2-OP1,96,AG
C2-O6,32,AG
C2-N9,1,AG
C2-C2,97,AG
C2-N2,12,AG
C2-C1',6,AG
C2-C6,38,AG
C2-N3,8,AG
C2-O5',21,AG
C2-C3',28,AG
C2-C5,100,AG
C2-OP2,14,AG
C2-N7,47,AG
C2-C4',101,AG
C2-P,99,AG
C2-O2',102,AG
C1'-C2',99,AG
C1'-C8,99,AG
C1'-O3',99,AG
C1'-N1,47,AG
C1'-C5',50,AG
C1'-O4',53,AG
C1'-C4,55,AG
C1'-OP1,55,AG
C1'-O6,98,AG
C1'-N9,98,AG
C1'-C2,98,AG
C1'-N2,98,AG
C1'-C1',40,AG
C1'-C6,20,AG
C1'-N3,63,AG
C1'-O5',64,AG
C1'-C3',64,AG
C1'-C5,66,AG
C1'-OP2,16,AG
C1'-N7,31,AG
C1'-C4',66,AG
C1'-P,23,AG
C1'-O2',23,AG
C6-C2',29,AG
C6-C8,3,AG
C6-O3',60,AG
C6-N1,39,AG
C6-C5',29,AG
C6-O4',61,AG
C6-C4,61,AG
C6-OP1,57,AG
C6-O6,11,AG
C6-N9,10,AG
C6-C2,1,AG
C6-N2,26,AG
C6-C1',61,AG
C6-C6,36,AG
C6-N3,16,AG
C6-O5',48,AG
C6-C3',15,AG
C6-C5,63,AG
C6-OP2,68,AG
C6-N7,71,AG
C6-C4',94,AG
C6-P,94,AG
C6-O2',11,AG
N3-C2',94,AG
N3-C8,95,AG
N3-O3',96,AG
N3-N1,37,AG
N3-C5',100,AG
N3-O4',101,AG
N3-C4,101,AG
N3-OP1,101,AG
N3-O6,20,AG
N3-N9,2,AG
N3-C2,102,AG
N3-N2,27,AG
N3-C1',14,AG
N3-C6,102,AG
N3-N3,36,AG
N3-O5',102,AG
N3-C3',102,AG
N3-C5,29,AG
N3-OP2,5,AG
N3-N7,101,AG
N3-C4',100,AG
N3-P,100,AG
N3-O2',100,AG
O5'-C2',96,AG
O5'-C8,97,AG
O5'-O3',6,AG
O5'-N1,97,AG
O5'-C5',35,AG
O5'-O4',28,AG
O5'-C4,20,AG
O5'-OP1,97,AG
O5'-O6,14,AG
O5'-N9,97,AG
O5'-C2,96,AG
O5'-N2,27,AG
O5'-C1',96,AG
O5'-C6,95,AG
O5'-N3,38,AG
O5'-O5',95,AG
O5'-C3',4,AG
O5'-C5,95,AG
O5'-OP2,94,AG
O5'-N7,64,AG
O5'-C4',11,AG
O5'-P,32,AG
O5'-O2',17,AG
C3'-C2',72,AG
C3'-C8,37,AG
C3'-O3',75,AG
C3'-N1,12,AG
C3'-C5',64,AG
C3'-O4',39,AG
C3'-C4,69,AG
C3'-OP1,69,AG
C3'-O6,25,AG
C3'-N9,51,AG
C3'-C2,26,AG
C3'-N2,11,AG
C3'-C1',69,AG
C3'-C6,20,AG
C3'-N3,72,AG
C3'-O5',68,AG
C3'-C3',51,AG
C3'-C5,72,AG
C3'-OP2,82,AG
C3'-N7,49,AG
C3'-C4',63,AG
C3'-P,84,AG
C3'-O2',37,AG
C5-C2',44,AG
C5-C8,52,AG
C5-O3',10,AG
C5-N1,9,AG
C5-C5',75,AG
C5-O4',76,AG
C5-C4,76,AG
C5-OP1,28,AG
C5-O6,21,AG
C5-N9,39,AG
C5-C2,38,AG
C5-N2,1,AG
C5-C1',67,AG
C5-C6,85,AG
C5-N3,83,AG
C5-O5',14,AG
C5-C3',68,AG
C5-C5,50,AG
C5-OP2,49,AG
C5-N7,5,AG
C5-C4',70,AG
C5-P,38,AG
C5-O2',27,AG
OP2-C2',19,AG
OP2-C8,47,AG
OP2-O3',6,AG
OP2-N1,7,AG
OP2-C5',76,AG
OP2-O4',65,AG
OP2-C4,46,AG
OP2-OP1,24,AG
OP2-O6,78,AG
OP2-N9,30,AG
OP2-C2,66,AG
OP2-N2,13,AG
OP2-C1',79,AG
OP2-C6,70,AG
OP2-N3,80,AG
OP2-O5',34,AG
OP2-C3',79,AG
OP2-C5,30,AG
OP2-OP2,82,AG
OP2-N7,35,AG
OP2-C4',62,AG
OP2-P,84,AG
OP2-O2',18,AG
N7-C2',62,AG
N7-C8,62,AG
N7-O3',62,AG
N7-N1,57,AG
N7-C5',83,AG
N7-O4',26,AG
N7-C4,27,AG
N7-OP1,58,AG
N7-O6,13,AG
N7-N9,60,AG
N7-C2,62,AG
N7-N2,7,AG
N7-C1',60,AG
N7-C6,69,AG
N7-N3,9,AG
N7-O5',69,AG
N7-C3',77,AG
N7-C5,25,AG
N7-OP2,77,AG
N7-N7,77,AG
N7-C4',77,AG
N7-P,86,AG
N7-O2',31,AG
C4'-C2',86,AG
C4'-C8,93,AG
C4'-O3',36,AG
C4'-N1,10,AG
C4'-C5',87,AG
C4'-O4',87,AG
C4'-C4,88,AG
C4'-OP1,88,AG
C4'-O6,89,AG
C4'-N9,89,AG
C4'-C2,92,AG
C4'-N2,29,AG
C4'-C1',88,AG
C4'-C6,91,AG
C4'-N3,87,AG
C4'-O5',86,AG
C4'-C3',21,AG
C4'-C5,90,AG
C4'-OP2,90,AG
C4'-N7,81,AG
C4'-C4',32,AG
C4'-P,91,AG
C4'-O2',81,AG
P-C2',81,AG
P-C8,72,AG
P-O3',88,AG
P-N1,33,AG
P-C5',14,AG
P-O4',74,AG
P-C4,85,AG
P-OP1,85,AG
P-O6,68,AG
P-N9,73,AG
P-C2,80,AG
P-N2,80,AG
P-C1',79,AG
P-C6,76,AG
P-N3,84,AG
P-O5',71,AG
P-C3',26,AG
P-C5,12,AG
P-OP2,36,AG
P-N7,67,AG
P-C4',59,AG
P-P,57,AG
P-O2',58,AG
O2'-C2',9,AG
O2'-C8,58,AG
O2'-O3',56,AG
O2'-N1,46,AG
O2'-C5',56,AG
O2'-O4',49,AG
O2'-C4,8,AG
O2'-OP1,44,AG
O2'-O6,48,AG
O2'-N9,45,AG
O2'-C2,52,AG
O2'-N2,33,AG
O2'-C1',16,AG
O2'-C6,34,AG
O2'-N3,17,AG
O2'-O5',41,AG
O2'-C3',41,AG
O2'-C5,16,AG
O2'-OP2,11,AG
O2'-N7,23,AG
O2'-C4',93,AG
O2'-P,98,AG
O2'-O2',99,AG
