,importance,BasePair
C2'-C2',88,AU
C2'-O3',87,AU
C2'-N1,10,AU
C2'-C5',27,AU
C2'-O4',10,AU
C2'-C4,27,AU
C2'-OP1,27,AU
C2'-O4,27,AU
C2'-C2,26,AU
C2'-C1',26,AU
C2'-O2,26,AU
C2'-N3,26,AU
C2'-C6,28,AU
C2'-O5',27,AU
C2'-C3',28,AU
C2'-C5,29,AU
C2'-OP2,28,AU
C2'-C4',29,AU
C2'-P,29,AU
C2'-O2',30,AU
C8-C2',29,AU
C8-O3',20,AU
C8-N1,32,AU
C8-C5',32,AU
C8-O4',28,AU
C8-C4,13,AU
C8-OP1,10,AU
C8-O4,5,AU
C8-C2,34,AU
C8-C1',35,AU
C8-O2,35,AU
C8-N3,9,AU
C8-C6,3,AU
C8-O5',36,AU
C8-C3',37,AU
C8-C5,14,AU
C8-OP2,37,AU
C8-C4',38,AU
C8-P,25,AU
C8-O2',38,AU
O3'-C2',38,AU
O3'-O3',38,AU
O3'-N1,7,AU
O3'-C5',37,AU
O3'-O4',36,AU
O3'-C4,14,AU
O3'-OP1,31,AU
O3'-O4,36,AU
O3'-C2,36,AU
O3'-C1',39,AU
O3'-O2,34,AU
O3'-N3,37,AU
O3'-C6,39,AU
O3'-O5',21,AU
O3'-C3',17,AU
O3'-C5,12,AU
O3'-OP2,40,AU
O3'-C4',40,AU
O3'-P,42,AU
O3'-O2',6,AU
N1-C2',41,AU
N1-O3',43,AU
N1-N1,41,AU
N1-C5',44,AU
N1-O4',22,AU
N1-C4,41,AU
N1-OP1,45,AU
N1-O4,2,AU
N1-C2,46,AU
N1-C1',42,AU
N1-O2,4,AU
N1-N3,47,AU
N1-C6,42,AU
N1-O5',42,AU
N1-C3',43,AU
N1-C5,43,AU
N1-OP2,49,AU
N1-C4',43,AU
N1-P,50,AU
N1-O2',43,AU
C5'-C2',3,AU
C5'-O3',51,AU
C5'-N1,25,AU
C5'-C5',45,AU
C5'-O4',45,AU
C5'-C4,45,AU
C5'-OP1,47,AU
C5'-O4,47,AU
C5'-C2,54,AU
C5'-C1',48,AU
C5'-O2,48,AU
C5'-N3,55,AU
C5'-C6,48,AU
C5'-O5',8,AU
C5'-C3',4,AU
C5'-C5,47,AU
C5'-OP2,57,AU
C5'-C4',47,AU
C5'-P,54,AU
C5'-O2',54,AU
O4'-C2',54,AU
O4'-O3',59,AU
O4'-N1,54,AU
O4'-C5',60,AU
O4'-O4',53,AU
O4'-C4,5,AU
O4'-OP1,61,AU
O4'-O4,49,AU
O4'-C2,62,AU
O4'-C1',53,AU
O4'-O2,55,AU
O4'-N3,55,AU
O4'-C6,56,AU
O4'-O5',56,AU
O4'-C3',57,AU
O4'-C5,57,AU
O4'-OP2,57,AU
O4'-C4',24,AU
O4'-P,12,AU
O4'-O2',60,AU
C4-C2',60,AU
C4-O3',67,AU
C4-N1,1,AU
C4-C5',68,AU
C4-O4',14,AU
C4-C4,24,AU
C4-OP1,61,AU
C4-O4,11,AU
C4-C2,70,AU
C4-C1',61,AU
C4-O2,2,AU
C4-N3,4,AU
C4-C6,62,AU
C4-O5',62,AU
C4-C3',62,AU
C4-C5,63,AU
C4-OP2,63,AU
