,importance,BasePair
C2'-C2',80,CC
C2'-O3',79,CC
C2'-N1,78,CC
C2'-C5',16,CC
C2'-O4',13,CC
C2'-C4,38,CC
C2'-OP1,9,CC
C2'-C2,19,CC
C2'-C1',37,CC
C2'-O2,37,CC
C2'-N3,37,CC
C2'-C6,37,CC
C2'-O5',39,CC
C2'-C3',36,CC
C2'-C5,38,CC
C2'-OP2,40,CC
C2'-C4',39,CC
C2'-P,39,CC
C2'-N4,39,CC
C2'-O2',39,CC
O3'-C2',40,CC
O3'-O3',9,CC
O3'-N1,40,CC
O3'-C5',11,CC
O3'-O4',18,CC
O3'-C4,43,CC
O3'-OP1,43,CC
O3'-C2,44,CC
O3'-C1',45,CC
O3'-O2,45,CC
O3'-N3,12,CC
O3'-C6,7,CC
O3'-O5',46,CC
O3'-C3',25,CC
O3'-C5,44,CC
O3'-OP2,47,CC
O3'-C4',48,CC
O3'-P,23,CC
O3'-N4,48,CC
O3'-O2',48,CC
N1-C2',50,CC
N1-O3',47,CC
N1-N1,7,CC
N1-C5',29,CC
N1-O4',23,CC
N1-C4,18,CC
N1-OP1,21,CC
N1-C2,37,CC
N1-C1',42,CC
N1-O2,48,CC
N1-N3,34,CC
N1-C6,42,CC
N1-O5',50,CC
N1-C3',50,CC
N1-C5,50,CC
N1-OP2,50,CC
N1-C4',14,CC
N1-P,25,CC
N1-N4,7,CC
N1-O2',52,CC
C5'-C2',8,CC
C5'-O3',4,CC
C5'-N1,52,CC
C5'-C5',2,CC
C5'-O4',20,CC
C5'-C4,13,CC
C5'-OP1,54,CC
C5'-C2,54,CC
C5'-C1',24,CC
C5'-O2,49,CC
C5'-N3,53,CC
C5'-C6,53,CC
C5'-O5',53,CC
C5'-C3',53,CC
C5'-C5,55,CC
C5'-OP2,55,CC
C5'-C4',20,CC
C5'-P,57,CC
C5'-N4,26,CC
C5'-O2',15,CC
O4'-C2',15,CC
O4'-O3',6,CC
O4'-N1,56,CC
O4'-C5',57,CC
O4'-O4',15,CC
O4'-C4,59,CC
O4'-OP1,59,CC
O4'-C2,17,CC
O4'-C1',60,CC
O4'-O2,60,CC
O4'-N3,60,CC
O4'-C6,8,CC
O4'-O5',42,CC
O4'-C3',41,CC
O4'-C5,27,CC
O4'-OP2,26,CC
O4'-C4',62,CC
O4'-P,65,CC
O4'-N4,35,CC
O4'-O2',66,CC
C4-C2',66,CC
C4-O3',66,CC
C4-N1,22,CC
C4-C5',65,CC
C4-O4',51,CC
C4-C4,1,CC
C4-OP1,5,CC
C4-C2,6,CC
C4-C1',67,CC
C4-O2,51,CC
C4-N3,69,CC
C4-C6,69,CC
C4-O5',10,CC
C4-C3',29,CC
C4-C5,56,CC
C4-OP2,20,CC
C4-C4',71,CC
C4-P,71,CC
C4-N4,6,CC
C4-O2',71,CC
OP1-C2',68,CC
OP1-O3',68,CC
OP1-N1,31,CC
OP1-C5',4,CC
OP1-O4',64,CC
OP1-C4,26,CC
OP1-OP1,10,CC
OP1-C2,10,CC
OP1-C1',19,CC
OP1-O2,34,CC
OP1-N3,67,CC
OP1-C6,67,CC
OP1-O5',30,CC
OP1-C3',32,CC
OP1-C5,8,CC
OP1-OP2,34,CC
OP1-C4',77,CC
OP1-P,77,CC
OP1-N4,3,CC
OP1-O2',5,CC
C2-C2',47,CC
C2-O3',72,CC
C2-N1,75,CC
C2-C5',75,CC
C2-O4',75,CC
C2-C4,18,CC
C2-OP1,13,CC
C2-C2,36,CC
C2-C1',72,CC
C2-O2,73,CC
C2-N3,73,CC
C2-C6,31,CC
C2-O5',73,CC
C2-C3',27,CC
C2-C5,73,CC
C2-OP2,76,CC
C2-C4',76,CC
C2-P,76,CC
C2-N4,19,CC
C2-O2',16,CC
C1'-C2',70,CC
C1'-O3',69,CC
C1'-N1,79,CC
C1'-C5',79,CC
C1'-O4',79,CC
C1'-C4,14,CC
C1'-OP1,3,CC
C1'-C2,74,CC
C1'-C1',42,CC
C1'-O2,1,CC
C1'-N3,41,CC
C1'-C6,46,CC
C1'-O5',46,CC
C1'-C3',52,CC
C1'-C5,30,CC
C1'-OP2,11,CC
C1'-C4',54,CC
C1'-P,24,CC
C1'-N4,36,CC
C1'-O2',48,CC
O2-C2',21,CC
O2-O3',47,CC
O2-N1,3,CC
O2-C5',4,CC
O2-O4',74,CC
O2-C4,4,CC
O2-OP1,23,CC
O2-C2,74,CC
O2-C1',74,CC
O2-O2,28,CC
O2-N3,35,CC
O2-C6,51,CC
O2-O5',60,CC
O2-C3',58,CC
O2-C5,31,CC
O2-OP2,61,CC
O2-C4',4,CC
O2-P,16,CC
O2-N4,2,CC
O2-O2',63,CC
N3-C2',73,CC
N3-O3',12,CC
N3-N1,72,CC
N3-C5',35,CC
N3-O4',53,CC
N3-C4,80,CC
N3-OP1,80,CC
N3-C2,24,CC
N3-C1',80,CC
N3-O2,80,CC
N3-N3,20,CC
N3-C6,78,CC
N3-O5',78,CC
N3-C3',78,CC
N3-C5,78,CC
N3-OP2,38,CC
N3-C4',43,CC
N3-P,18,CC
N3-N4,32,CC
N3-O2',33,CC
C6-C2',40,CC
C6-O3',3,CC
C6-N1,54,CC
C6-C5',20,CC
C6-O4',27,CC
C6-C4,42,CC
C6-OP1,22,CC
C6-C2,46,CC
C6-C1',65,CC
C6-O2,65,CC
C6-N3,55,CC
C6-C6,2,CC
C6-O5',59,CC
C6-C3',16,CC
C6-C5,66,CC
C6-OP2,26,CC
C6-C4',77,CC
C6-P,55,CC
C6-N4,14,CC
C6-O2',44,CC
O5'-C2',2,CC
O5'-O3',33,CC
O5'-N1,45,CC
O5'-C5',49,CC
O5'-O4',35,CC
O5'-C4,10,CC
O5'-OP1,57,CC
O5'-C2,54,CC
O5'-C1',8,CC
O5'-O2,60,CC
O5'-N3,59,CC
O5'-C6,49,CC
O5'-O5',17,CC
O5'-C3',36,CC
O5'-C5,41,CC
O5'-OP2,62,CC
O5'-C4',62,CC
O5'-P,11,CC
O5'-N4,5,CC
O5'-O2',9,CC
C3'-C2',41,CC
C3'-O3',41,CC
C3'-N1,43,CC
C3'-C5',1,CC
C3'-O4',69,CC
C3'-C4,71,CC
C3'-OP1,32,CC
C3'-C2,51,CC
C3'-C1',56,CC
C3'-O2,56,CC
C3'-N3,35,CC
C3'-C6,67,CC
C3'-O5',68,CC
C3'-C3',7,CC
C3'-C5,6,CC
C3'-OP2,33,CC
C3'-C4',64,CC
C3'-P,61,CC
C3'-N4,7,CC
C3'-O2',30,CC
C5-C2',29,CC
C5-O3',14,CC
C5-N1,61,CC
C5-C5',61,CC
C5-O4',61,CC
C5-C4,77,CC
C5-OP1,25,CC
C5-C2,28,CC
C5-C1',76,CC
C5-O2,17,CC
C5-N3,3,CC
C5-C6,23,CC
C5-O5',9,CC
C5-C3',15,CC
C5-C5,21,CC
C5-OP2,56,CC
C5-C4',58,CC
C5-P,58,CC
C5-N4,16,CC
C5-O2',23,CC
OP2-C2',58,CC
OP2-O3',33,CC
OP2-N1,58,CC
OP2-C5',21,CC
OP2-O4',51,CC
OP2-C4,63,CC
OP2-OP1,63,CC
OP2-C2,29,CC
OP2-C1',63,CC
OP2-O2,18,CC
OP2-N3,63,CC
OP2-C6,12,CC
OP2-O5',28,CC
OP2-C3',62,CC
OP2-C5,70,CC
OP2-OP2,14,CC
OP2-C4',13,CC
OP2-P,22,CC
OP2-N4,8,CC
OP2-O2',19,CC
C4'-C2',70,CC
C4'-O3',31,CC
C4'-N1,17,CC
C4'-C5',70,CC
C4'-O4',72,CC
C4'-C4,72,CC
C4'-OP1,79,CC
C4'-C2,32,CC
C4'-C1',76,CC
C4'-O2,68,CC
C4'-N3,34,CC
C4'-C6,64,CC
C4'-O5',64,CC
C4'-C3',46,CC
C4'-C5,65,CC
C4'-OP2,6,CC
C4'-C4',1,CC
C4'-P,77,CC
C4'-N4,75,CC
C4'-O2',70,CC
P-C2',71,CC
P-O3',67,CC
P-N1,62,CC
P-C5',24,CC
P-O4',75,CC
P-C4,36,CC
P-OP1,5,CC
P-C2,12,CC
P-C1',11,CC
P-O2,33,CC
P-N3,59,CC
P-C6,55,CC
P-O5',57,CC
P-C3',57,CC
P-C5,27,CC
P-OP2,38,CC
P-C4',47,CC
P-P,28,CC
P-N4,32,CC
P-O2',22,CC
N4-C2',25,CC
N4-O3',15,CC
N4-N1,74,CC
N4-C5',52,CC
N4-O4',9,CC
N4-C4,64,CC
N4-OP1,13,CC
N4-C2,2,CC
N4-C1',27,CC
N4-O2,21,CC
N4-N3,30,CC
N4-C6,10,CC
N4-O5',26,CC
N4-C3',25,CC
N4-C5,11,CC
N4-OP2,24,CC
N4-C4',68,CC
N4-P,31,CC
N4-N4,1,CC
N4-O2',34,CC
O2'-C2',69,CC
O2'-O3',52,CC
O2'-N1,66,CC
O2'-C5',28,CC
O2'-O4',12,CC
O2'-C4,45,CC
O2'-OP1,49,CC
O2'-C2,49,CC
O2'-C1',45,CC
O2'-O2,43,CC
O2'-N3,30,CC
O2'-C6,19,CC
O2'-O5',5,CC
O2'-C3',44,CC
O2'-C5,44,CC
O2'-OP2,17,CC
O2'-C4',40,CC
O2'-P,38,CC
O2'-N4,29,CC
O2'-O2',22,CC
