,importance,BasePair
C2'-C2',1,CG
C2'-C8,41,CG
C2'-O3',8,CG
C2'-N1,41,CG
C2'-C5',41,CG
C2'-O4',23,CG
C2'-C4,40,CG
C2'-OP1,29,CG
C2'-O6,33,CG
C2'-N9,40,CG
C2'-C2,40,CG
C2'-N2,2,CG
C2'-C1',41,CG
C2'-C6,41,CG
C2'-N3,33,CG
C2'-O5',43,CG
C2'-C3',12,CG
C2'-C5,42,CG
C2'-OP2,42,CG
C2'-N7,42,CG
C2'-C4',43,CG
C2'-P,46,CG
C2'-O2',46,CG
O3'-C2',47,CG
O3'-C8,47,CG
O3'-O3',25,CG
O3'-N1,47,CG
O3'-C5',48,CG
O3'-O4',48,CG
O3'-C4,32,CG
O3'-OP1,50,CG
O3'-O6,19,CG
O3'-N9,51,CG
O3'-C2,17,CG
O3'-N2,27,CG
O3'-C1',51,CG
O3'-C6,30,CG
O3'-N3,15,CG
O3'-O5',49,CG
O3'-C3',51,CG
O3'-C5,50,CG
O3'-OP2,49,CG
O3'-N7,6,CG
O3'-C4',1,CG
O3'-P,23,CG
O3'-O2',21,CG
N1-C2',45,CG
N1-C8,56,CG
N1-O3',45,CG
N1-N1,53,CG
N1-C5',53,CG
N1-O4',36,CG
N1-C4,19,CG
N1-OP1,54,CG
N1-O6,54,CG
N1-N9,58,CG
N1-C2,9,CG
N1-N2,54,CG
N1-C1',16,CG
N1-C6,36,CG
N1-N3,55,CG
N1-O5',55,CG
N1-C3',56,CG
N1-C5,56,CG
N1-OP2,56,CG
N1-N7,56,CG
N1-C4',39,CG
N1-P,57,CG
N1-O2',18,CG
C5'-C2',47,CG
C5'-C8,45,CG
C5'-O3',45,CG
C5'-N1,5,CG
C5'-C5',32,CG
C5'-O4',58,CG
C5'-C4,58,CG
C5'-OP1,37,CG
C5'-O6,58,CG
C5'-N9,52,CG
C5'-C2,29,CG
C5'-N2,38,CG
C5'-C1',61,CG
C5'-C6,30,CG
C5'-N3,16,CG
C5'-O5',62,CG
C5'-C3',63,CG
C5'-C5,63,CG
C5'-OP2,23,CG
C5'-N7,64,CG
C5'-C4',64,CG
C5'-P,32,CG
C5'-O2',62,CG
O4'-C2',59,CG
O4'-C8,2,CG
O4'-O3',25,CG
O4'-N1,60,CG
O4'-C5',60,CG
O4'-O4',60,CG
O4'-C4,57,CG
O4'-OP1,22,CG
O4'-O6,17,CG
O4'-N9,69,CG
O4'-C2,69,CG
O4'-N2,3,CG
O4'-C1',69,CG
O4'-C6,70,CG
O4'-N3,29,CG
O4'-O5',72,CG
O4'-C3',72,CG
O4'-C5,72,CG
O4'-OP2,76,CG
O4'-N7,70,CG
O4'-C4',70,CG
O4'-P,49,CG
O4'-O2',15,CG
C4-C2',78,CG
C4-C8,43,CG
C4-O3',27,CG
C4-N1,16,CG
C4-C5',35,CG
C4-O4',80,CG
C4-C4,24,CG
C4-OP1,48,CG
C4-O6,37,CG
C4-N9,74,CG
C4-C2,74,CG
C4-N2,27,CG
C4-C1',75,CG
C4-C6,8,CG
C4-N3,75,CG
C4-O5',34,CG
