,importance,BasePair
C2'-C2',80,CU
C2'-O3',79,CU
C2'-N1,78,CU
C2'-C5',6,CU
C2'-O4',39,CU
C2'-C4,39,CU
C2'-OP1,19,CU
C2'-O4,24,CU
C2'-C2,39,CU
C2'-C1',40,CU
C2'-O2,40,CU
C2'-N3,41,CU
C2'-C6,42,CU
C2'-O5',5,CU
C2'-C3',39,CU
C2'-C5,33,CU
C2'-OP2,41,CU
C2'-C4',42,CU
C2'-P,22,CU
C2'-O2',42,CU
O3'-C2',42,CU
O3'-O3',2,CU
O3'-N1,4,CU
O3'-C5',45,CU
O3'-O4',45,CU
O3'-C4,45,CU
O3'-OP1,28,CU
O3'-O4,1,CU
O3'-C2,46,CU
O3'-C1',48,CU
O3'-O2,32,CU
O3'-N3,26,CU
O3'-C6,13,CU
O3'-O5',13,CU
O3'-C3',50,CU
O3'-C5,35,CU
O3'-OP2,50,CU
O3'-C4',50,CU
O3'-P,21,CU
O3'-O2',49,CU
N1-C2',49,CU
N1-O3',52,CU
N1-N1,49,CU
N1-C5',29,CU
N1-O4',49,CU
N1-C4,4,CU
N1-OP1,43,CU
N1-O4,8,CU
N1-C2,1,CU
N1-C1',7,CU
N1-O2,36,CU
N1-N3,42,CU
N1-C6,12,CU
N1-O5',52,CU
N1-C3',52,CU
N1-C5,27,CU
N1-OP2,44,CU
N1-C4',14,CU
N1-P,44,CU
N1-O2',40,CU
C5'-C2',9,CU
C5'-O3',28,CU
C5'-N1,11,CU
C5'-C5',11,CU
C5'-O4',13,CU
C5'-C4,27,CU
C5'-OP1,34,CU
C5'-O4,56,CU
C5'-C2,56,CU
C5'-C1',43,CU
C5'-O2,46,CU
C5'-N3,51,CU
C5'-C6,51,CU
C5'-O5',54,CU
C5'-C3',54,CU
C5'-C5,25,CU
C5'-OP2,30,CU
C5'-C4',54,CU
C5'-P,51,CU
C5'-O2',34,CU
O4'-C2',53,CU
O4'-O3',13,CU
O4'-N1,20,CU
O4'-C5',57,CU
O4'-O4',58,CU
O4'-C4,22,CU
O4'-OP1,34,CU
O4'-O4,14,CU
O4'-C2,9,CU
O4'-C1',36,CU
O4'-O2,53,CU
O4'-N3,51,CU
O4'-C6,60,CU
O4'-O5',38,CU
O4'-C3',60,CU
O4'-C5,24,CU
O4'-OP2,60,CU
O4'-C4',60,CU
O4'-P,50,CU
O4'-O2',26,CU
C4-C2',28,CU
C4-O3',46,CU
C4-N1,7,CU
C4-C5',33,CU
C4-O4',54,CU
C4-C4,43,CU
C4-OP1,18,CU
C4-O4,64,CU
C4-C2,64,CU
C4-C1',15,CU
C4-O2,7,CU
C4-N3,3,CU
C4-C6,32,CU
C4-O5',25,CU
C4-C3',15,CU
C4-C5,73,CU
C4-OP2,38,CU
C4-C4',5,CU
C4-P,19,CU
C4-O2',48,CU
OP1-C2',25,CU
OP1-O3',48,CU
OP1-N1,63,CU
OP1-C5',8,CU
OP1-O4',8,CU
