,importance,BasePair
C2'-C2',2,GG
C2'-C8,45,GG
C2'-O3',45,GG
C2'-N1,45,GG
C2'-C5',45,GG
C2'-O4',44,GG
C2'-C4,44,GG
C2'-OP1,44,GG
C2'-O6,44,GG
C2'-N9,44,GG
C2'-C2,43,GG
C2'-N2,43,GG
C2'-C1',46,GG
C2'-C6,47,GG
C2'-N3,46,GG
C2'-O5',46,GG
C2'-C3',18,GG
C2'-C5,45,GG
C2'-OP2,43,GG
C2'-N7,17,GG
C2'-C4',47,GG
C2'-P,28,GG
C2'-O2',14,GG
C8-C2',50,GG
C8-C8,10,GG
C8-O3',39,GG
C8-N1,49,GG
C8-C5',24,GG
C8-O4',51,GG
C8-C4,20,GG
C8-OP1,52,GG
C8-O6,52,GG
C8-N9,53,GG
C8-C2,54,GG
C8-N2,21,GG
C8-C1',19,GG
C8-C6,11,GG
C8-N3,53,GG
C8-O5',24,GG
C8-C3',55,GG
C8-C5,55,GG
C8-OP2,55,GG
C8-N7,55,GG
C8-C4',54,GG
C8-P,35,GG
C8-O2',53,GG
O3'-C2',4,GG
O3'-C8,16,GG
O3'-O3',52,GG
O3'-N1,53,GG
O3'-C5',51,GG
O3'-O4',5,GG
O3'-C4,48,GG
O3'-OP1,29,GG
O3'-O6,21,GG
O3'-N9,58,GG
O3'-C2,58,GG
O3'-N2,22,GG
O3'-C1',42,GG
O3'-C6,57,GG
O3'-N3,57,GG
O3'-O5',57,GG
O3'-C3',30,GG
O3'-C5,43,GG
O3'-OP2,62,GG
O3'-N7,57,GG
O3'-C4',56,GG
O3'-P,17,GG
O3'-O2',10,GG
N1-C2',59,GG
N1-C8,40,GG
N1-O3',5,GG
N1-N1,25,GG
N1-C5',61,GG
N1-O4',56,GG
N1-C4,63,GG
N1-OP1,63,GG
N1-O6,25,GG
N1-N9,31,GG
N1-C2,1,GG
N1-N2,56,GG
N1-C1',62,GG
N1-C6,16,GG
N1-N3,62,GG
N1-O5',38,GG
N1-C3',68,GG
N1-C5,15,GG
N1-OP2,4,GG
N1-N7,23,GG
N1-C4',33,GG
N1-P,66,GG
N1-O2',32,GG
C5'-C2',71,GG
C5'-C8,68,GG
C5'-O3',18,GG
C5'-N1,70,GG
C5'-C5',70,GG
C5'-O4',70,GG
C5'-C4,13,GG
C5'-OP1,13,GG
C5'-O6,72,GG
C5'-N9,72,GG
C5'-C2,72,GG
C5'-N2,32,GG
C5'-C1',22,GG
C5'-C6,71,GG
C5'-N3,60,GG
C5'-O5',24,GG
C5'-C3',41,GG
C5'-C5,14,GG
C5'-OP2,74,GG
C5'-N7,42,GG
C5'-C4',36,GG
C5'-P,74,GG
C5'-O2',74,GG
O4'-C2',75,GG
O4'-C8,76,GG
O4'-O3',17,GG
O4'-N1,76,GG
O4'-C5',20,GG
O4'-O4',76,GG
O4'-C4,75,GG
O4'-OP1,73,GG
O4'-O6,42,GG
O4'-N9,69,GG
O4'-C2,69,GG
O4'-N2,69,GG
O4'-C1',69,GG
O4'-C6,65,GG
O4'-N3,64,GG
O4'-O5',1,GG
O4'-C3',64,GG
O4'-C5,54,GG
O4'-OP2,78,GG
O4'-N7,78,GG
O4'-C4',83,GG
O4'-P,29,GG
O4'-O2',3,GG
C4-C2',84,GG
C4-C8,27,GG
C4-O3',84,GG
C4-N1,84,GG
C4-C5',85,GG
C4-O4',86,GG
C4-C4,35,GG
C4-OP1,18,GG
C4-O6,7,GG
C4-N9,58,GG
C4-C2,49,GG
C4-N2,17,GG
C4-C1',49,GG
C4-C6,80,GG
C4-N3,80,GG
C4-O5',80,GG
C4-C3',80,GG
C4-C5,81,GG
C4-OP2,23,GG
C4-N7,65,GG
C4-C4',36,GG
C4-P,65,GG
C4-O2',81,GG
OP1-C2',12,GG
OP1-C8,16,GG
OP1-O3',28,GG
OP1-N1,82,GG
OP1-C5',82,GG
OP1-O4',31,GG
OP1-C4,82,GG
OP1-OP1,5,GG
OP1-O6,12,GG
OP1-N9,11,GG
OP1-C2,21,GG
OP1-N2,81,GG
OP1-C1',28,GG
OP1-C6,81,GG
OP1-N3,79,GG
OP1-O5',79,GG
OP1-C3',28,GG
OP1-C5,58,GG
OP1-OP2,26,GG
OP1-N7,57,GG
OP1-C4',27,GG
OP1-P,8,GG
OP1-O2',68,GG
O6-C2',31,GG
O6-C8,19,GG
O6-O3',87,GG
O6-N1,27,GG
O6-C5',26,GG
O6-O4',87,GG
O6-C4,87,GG
O6-OP1,14,GG
O6-O6,2,GG
O6-N9,99,GG
O6-C2,15,GG
O6-N2,42,GG
O6-C1',100,GG
O6-C6,5,GG
O6-N3,100,GG
O6-O5',100,GG
O6-C3',101,GG
O6-C5,101,GG
O6-OP2,9,GG
O6-N7,2,GG
O6-C4',39,GG
O6-P,94,GG
O6-O2',38,GG
N9-C2',94,GG
N9-C8,96,GG
N9-O3',96,GG
N9-N1,96,GG
N9-C5',42,GG
N9-O4',96,GG
N9-C4,94,GG
N9-OP1,89,GG
N9-O6,88,GG
N9-N9,47,GG
N9-C2,77,GG
N9-N2,8,GG
N9-C1',77,GG
N9-C6,77,GG
N9-N3,77,GG
N9-O5',92,GG
N9-C3',33,GG
N9-C5,26,GG
N9-OP2,33,GG
N9-N7,95,GG
N9-C4',97,GG
N9-P,18,GG
N9-O2',59,GG
C2-C2',88,GG
C2-C8,105,GG
C2-O3',8,GG
C2-N1,105,GG
C2-C5',105,GG
C2-O4',15,GG
C2-C4,35,GG
C2-OP1,30,GG
C2-O6,20,GG
C2-N9,103,GG
C2-C2,1,GG
C2-N2,32,GG
C2-C1',102,GG
C2-C6,9,GG
C2-N3,104,GG
C2-O5',102,GG
C2-C3',106,GG
C2-C5,89,GG
C2-OP2,90,GG
C2-N7,13,GG
C2-C4',91,GG
C2-P,89,GG
C2-O2',41,GG
N2-C2',89,GG
N2-C8,28,GG
N2-O3',31,GG
N2-N1,38,GG
N2-C5',7,GG
N2-O4',98,GG
N2-C4,41,GG
N2-OP1,11,GG
N2-O6,16,GG
N2-N9,105,GG
N2-C2,36,GG
N2-N2,2,GG
N2-C1',16,GG
N2-C6,88,GG
N2-N3,29,GG
N2-O5',88,GG
N2-C3',48,GG
N2-C5,50,GG
N2-OP2,9,GG
N2-N7,103,GG
N2-C4',6,GG
N2-P,103,GG
N2-O2',103,GG
C1'-C2',41,GG
C1'-C8,11,GG
C1'-O3',40,GG
C1'-N1,90,GG
C1'-C5',21,GG
C1'-O4',91,GG
C1'-C4,91,GG
C1'-OP1,92,GG
C1'-O6,92,GG
C1'-N9,92,GG
C1'-C2,92,GG
C1'-N2,91,GG
C1'-C1',35,GG
C1'-C6,91,GG
C1'-N3,90,GG
C1'-O5',97,GG
C1'-C3',97,GG
C1'-C5,98,GG
C1'-OP2,12,GG
C1'-N7,98,GG
C1'-C4',98,GG
C1'-P,18,GG
C1'-O2',13,GG
C6-C2',98,GG
C6-C8,104,GG
C6-O3',106,GG
C6-N1,35,GG
C6-C5',106,GG
C6-O4',106,GG
C6-C4,106,GG
C6-OP1,32,GG
C6-O6,104,GG
C6-N9,104,GG
C6-C2,12,GG
C6-N2,37,GG
C6-C1',104,GG
C6-C6,30,GG
C6-N3,24,GG
C6-O5',97,GG
C6-C3',4,GG
C6-C5,6,GG
C6-OP2,39,GG
C6-N7,10,GG
C6-C4',95,GG
C6-P,90,GG
C6-O2',51,GG
N3-C2',63,GG
N3-C8,52,GG
N3-O3',64,GG
N3-N1,64,GG
N3-C5',3,GG
N3-O4',74,GG
N3-C4,59,GG
N3-OP1,6,GG
N3-O6,14,GG
N3-N9,10,GG
N3-C2,59,GG
N3-N2,59,GG
N3-C1',62,GG
N3-C6,3,GG
N3-N3,52,GG
N3-O5',23,GG
N3-C3',61,GG
N3-C5,61,GG
N3-OP2,63,GG
N3-N7,63,GG
N3-C4',67,GG
N3-P,67,GG
N3-O2',25,GG
O5'-C2',33,GG
O5'-C8,70,GG
O5'-O3',67,GG
O5'-N1,67,GG
O5'-C5',40,GG
O5'-O4',60,GG
O5'-C4,73,GG
O5'-OP1,38,GG
O5'-O6,73,GG
O5'-N9,73,GG
O5'-C2,75,GG
O5'-N2,75,GG
O5'-C1',60,GG
O5'-C6,60,GG
O5'-N3,83,GG
O5'-O5',8,GG
O5'-C3',26,GG
O5'-C5,83,GG
O5'-OP2,84,GG
O5'-N7,26,GG
O5'-C4',83,GG
O5'-P,33,GG
O5'-O2',58,GG
C3'-C2',3,GG
C3'-C8,99,GG
C3'-O3',4,GG
C3'-N1,85,GG
C3'-C5',13,GG
C3'-O4',101,GG
C3'-C4,76,GG
C3'-OP1,68,GG
C3'-O6,34,GG
C3'-N9,86,GG
C3'-C2,86,GG
C3'-N2,23,GG
C3'-C1',86,GG
C3'-C6,71,GG
C3'-N3,71,GG
C3'-O5',19,GG
C3'-C3',7,GG
C3'-C5,9,GG
C3'-OP2,22,GG
C3'-N7,68,GG
C3'-C4',72,GG
C3'-P,7,GG
C3'-O2',72,GG
C5-C2',66,GG
C5-C8,66,GG
C5-O3',66,GG
C5-N1,25,GG
C5-C5',55,GG
C5-O4',67,GG
C5-C4,65,GG
C5-OP1,105,GG
C5-O6,34,GG
C5-N9,65,GG
C5-C2,37,GG
C5-N2,15,GG
C5-C1',78,GG
C5-C6,56,GG
C5-N3,19,GG
C5-O5',64,GG
C5-C3',37,GG
C5-C5,1,GG
C5-OP2,29,GG
C5-N7,56,GG
C5-C4',40,GG
C5-P,93,GG
C5-O2',94,GG
OP2-C2',93,GG
OP2-C8,24,GG
OP2-O3',53,GG
OP2-N1,12,GG
OP2-C5',54,GG
OP2-O4',25,GG
OP2-C4,102,GG
OP2-OP1,15,GG
OP2-O6,19,GG
OP2-N9,62,GG
OP2-C2,31,GG
OP2-N2,32,GG
OP2-C1',54,GG
OP2-C6,36,GG
OP2-N3,81,GG
OP2-O5',14,GG
OP2-C3',37,GG
OP2-C5,43,GG
OP2-OP2,6,GG
OP2-N7,79,GG
OP2-C4',76,GG
OP2-P,79,GG
OP2-O2',73,GG
N7-C2',22,GG
N7-C8,75,GG
N7-O3',48,GG
N7-N1,30,GG
N7-C5',87,GG
N7-O4',36,GG
N7-C4,47,GG
N7-OP1,40,GG
N7-O6,60,GG
N7-N9,46,GG
N7-C2,22,GG
N7-N2,11,GG
N7-C1',29,GG
N7-C6,70,GG
N7-N3,37,GG
N7-O5',21,GG
N7-C3',66,GG
N7-C5,39,GG
N7-OP2,17,GG
N7-N7,3,GG
N7-C4',10,GG
N7-P,27,GG
N7-O2',82,GG
C4'-C2',83,GG
C4'-C8,84,GG
C4'-O3',79,GG
C4'-N1,51,GG
C4'-C5',85,GG
C4'-O4',82,GG
C4'-C4,87,GG
C4'-OP1,20,GG
C4'-O6,78,GG
C4'-N9,78,GG
C4'-C2,47,GG
C4'-N2,86,GG
C4'-C1',93,GG
C4'-C6,94,GG
C4'-N3,85,GG
C4'-O5',30,GG
C4'-C3',74,GG
C4'-C5,96,GG
C4'-OP2,61,GG
C4'-N7,69,GG
C4'-C4',71,GG
C4'-P,99,GG
C4'-O2',46,GG
P-C2',100,GG
P-C8,50,GG
P-O3',101,GG
P-N1,49,GG
P-C5',102,GG
P-O4',20,GG
P-C4,90,GG
P-OP1,27,GG
P-O6,99,GG
P-N9,50,GG
P-C2,50,GG
P-N2,95,GG
P-C1',95,GG
P-C6,95,GG
P-N3,97,GG
P-O5',77,GG
P-C3',89,GG
P-C5,80,GG
P-OP2,39,GG
P-N7,23,GG
P-C4',103,GG
P-P,7,GG
P-O2',93,GG
O2'-C2',99,GG
O2'-C8,102,GG
O2'-O3',101,GG
O2'-N1,100,GG
O2'-C5',1,GG
O2'-O4',93,GG
O2'-C4,34,GG
O2'-OP1,4,GG
O2'-O6,49,GG
O2'-N9,85,GG
O2'-C2,34,GG
O2'-N2,9,GG
O2'-C1',48,GG
O2'-C6,8,GG
O2'-N3,38,GG
O2'-O5',61,GG
O2'-C3',5,GG
O2'-C5,34,GG
O2'-OP2,51,GG
O2'-N7,41,GG
O2'-C4',48,GG
O2'-P,88,GG
O2'-O2',6,GG
