,importance,BasePair
C2'-C2',92,GU
C2'-O3',5,GU
C2'-N1,42,GU
C2'-C5',42,GU
C2'-O4',42,GU
C2'-C4,42,GU
C2'-OP1,16,GU
C2'-O4,13,GU
C2'-C2,33,GU
C2'-C1',40,GU
C2'-O2,19,GU
C2'-N3,40,GU
C2'-C6,40,GU
C2'-O5',20,GU
C2'-C3',39,GU
C2'-C5,41,GU
C2'-OP2,41,GU
C2'-C4',43,GU
C2'-P,16,GU
C2'-O2',43,GU
C8-C2',45,GU
C8-O3',46,GU
C8-N1,46,GU
C8-C5',26,GU
C8-O4',47,GU
C8-C4,1,GU
C8-OP1,47,GU
C8-O4,36,GU
C8-C2,24,GU
C8-C1',49,GU
C8-O2,23,GU
C8-N3,38,GU
C8-C6,26,GU
C8-O5',50,GU
C8-C3',51,GU
C8-C5,51,GU
C8-OP2,10,GU
C8-C4',51,GU
C8-P,18,GU
C8-O2',48,GU
O3'-C2',48,GU
O3'-O3',44,GU
O3'-N1,8,GU
O3'-C5',9,GU
O3'-O4',35,GU
O3'-C4,49,GU
O3'-OP1,33,GU
O3'-O4,44,GU
O3'-C2,50,GU
O3'-C1',32,GU
O3'-O2,44,GU
O3'-N3,41,GU
O3'-C6,41,GU
O3'-O5',29,GU
O3'-C3',23,GU
O3'-C5,43,GU
O3'-OP2,21,GU
O3'-C4',53,GU
O3'-P,37,GU
O3'-O2',53,GU
N1-C2',8,GU
N1-O3',45,GU
N1-N1,56,GU
N1-C5',56,GU
N1-O4',56,GU
N1-C4,7,GU
N1-OP1,34,GU
N1-O4,59,GU
N1-C2,8,GU
N1-C1',55,GU
N1-O2,17,GU
N1-N3,55,GU
N1-C6,54,GU
N1-O5',54,GU
N1-C3',27,GU
N1-C5,60,GU
N1-OP2,18,GU
N1-C4',14,GU
N1-P,59,GU
N1-O2',59,GU
C5'-C2',57,GU
C5'-O3',4,GU
C5'-N1,62,GU
C5'-C5',62,GU
C5'-O4',62,GU
C5'-C4,68,GU
C5'-OP1,25,GU
C5'-O4,57,GU
C5'-C2,29,GU
C5'-C1',58,GU
C5'-O2,27,GU
C5'-N3,58,GU
C5'-C6,2,GU
C5'-O5',13,GU
C5'-C3',47,GU
C5'-C5,24,GU
C5'-OP2,51,GU
C5'-C4',44,GU
C5'-P,24,GU
C5'-O2',63,GU
O4'-C2',63,GU
O4'-O3',67,GU
O4'-N1,32,GU
O4'-C5',12,GU
O4'-O4',68,GU
O4'-C4,35,GU
O4'-OP1,6,GU
O4'-O4,39,GU
O4'-C2,6,GU
O4'-C1',69,GU
O4'-O2,23,GU
O4'-N3,69,GU
O4'-C6,66,GU
O4'-O5',17,GU
O4'-C3',66,GU
O4'-C5,66,GU
O4'-OP2,61,GU
O4'-C4',61,GU
O4'-P,39,GU
O4'-O2',75,GU
C4-C2',75,GU
C4-O3',75,GU
C4-N1,24,GU
C4-C5',74,GU
C4-O4',5,GU
C4-C4,77,GU
C4-OP1,77,GU
C4-O4,77,GU
C4-C2,77,GU
C4-C1',74,GU
C4-O2,74,GU
C4-N3,2,GU
C4-C6,5,GU
C4-O5',71,GU
C4-C3',71,GU
C4-C5,14,GU
C4-OP2,72,GU
C4-C4',15,GU
C4-P,73,GU
C4-O2',73,GU
OP1-C2',73,GU
OP1-O3',36,GU
OP1-N1,34,GU
OP1-C5',72,GU
OP1-O4',22,GU
OP1-C4,70,GU
OP1-OP1,28,GU
OP1-O4,76,GU
OP1-C2,64,GU
OP1-C1',52,GU
OP1-O2,49,GU
OP1-N3,79,GU
OP1-C6,73,GU
OP1-O5',46,GU
OP1-C3',41,GU
OP1-C5,12,GU
OP1-OP2,12,GU
OP1-C4',78,GU
OP1-P,14,GU
OP1-O2',79,GU
O6-C2',12,GU
O6-O3',5,GU
O6-N1,35,GU
O6-C5',19,GU
O6-O4',10,GU
O6-C4,11,GU
O6-OP1,85,GU
O6-O4,3,GU
O6-C2,14,GU
O6-C1',26,GU
O6-O2,22,GU
O6-N3,18,GU
O6-C6,7,GU
O6-O5',86,GU
O6-C3',86,GU
O6-C5,29,GU
O6-OP2,89,GU
O6-C4',8,GU
O6-P,21,GU
O6-O2',81,GU
N9-C2',81,GU
N9-O3',81,GU
N9-N1,32,GU
N9-C5',70,GU
N9-O4',82,GU
N9-C4,83,GU
N9-OP1,31,GU
