,importance,BasePair
C2'-C2',80,UU
C2'-O3',79,UU
C2'-N1,78,UU
C2'-C5',77,UU
C2'-O4',76,UU
C2'-C4,75,UU
C2'-OP1,74,UU
C2'-O4,16,UU
C2'-C2,24,UU
C2'-C1',24,UU
C2'-O2,24,UU
C2'-N3,24,UU
C2'-C6,24,UU
C2'-O5',23,UU
C2'-C3',7,UU
C2'-C5,25,UU
C2'-OP2,25,UU
C2'-C4',25,UU
C2'-P,25,UU
C2'-O2',21,UU
O3'-C2',25,UU
O3'-O3',6,UU
O3'-N1,26,UU
O3'-C5',9,UU
O3'-O4',27,UU
O3'-C4,21,UU
O3'-OP1,12,UU
O3'-O4,13,UU
O3'-C2,30,UU
O3'-C1',30,UU
O3'-O2,8,UU
O3'-N3,8,UU
O3'-C6,13,UU
O3'-O5',31,UU
O3'-C3',33,UU
O3'-C5,22,UU
O3'-OP2,17,UU
O3'-C4',33,UU
O3'-P,34,UU
O3'-O2',34,UU
N1-C2',35,UU
N1-O3',35,UU
N1-N1,35,UU
N1-C5',35,UU
N1-O4',34,UU
N1-C4,34,UU
N1-OP1,33,UU
N1-O4,5,UU
N1-C2,1,UU
N1-C1',6,UU
N1-O2,15,UU
N1-N3,32,UU
N1-C6,32,UU
N1-O5',29,UU
N1-C3',34,UU
N1-C5,29,UU
N1-OP2,4,UU
N1-C4',32,UU
N1-P,35,UU
N1-O2',36,UU
C5'-C2',37,UU
C5'-O3',8,UU
C5'-N1,37,UU
C5'-C5',12,UU
C5'-O4',38,UU
C5'-C4,38,UU
C5'-OP1,38,UU
C5'-O4,11,UU
C5'-C2,40,UU
C5'-C1',40,UU
C5'-O2,40,UU
C5'-N3,39,UU
C5'-C6,38,UU
C5'-O5',41,UU
C5'-C3',41,UU
C5'-C5,41,UU
C5'-OP2,41,UU
C5'-C4',41,UU
C5'-P,14,UU
C5'-O2',39,UU
O4'-C2',22,UU
O4'-O3',39,UU
O4'-N1,39,UU
O4'-C5',3,UU
O4'-O4',18,UU
O4'-C4,42,UU
O4'-OP1,42,UU
O4'-O4,5,UU
O4'-C2,43,UU
O4'-C1',43,UU
O4'-O2,20,UU
O4'-N3,43,UU
O4'-C6,42,UU
O4'-O5',36,UU
O4'-C3',26,UU
O4'-C5,10,UU
O4'-OP2,28,UU
O4'-C4',28,UU
O4'-P,28,UU
O4'-O2',28,UU
C4-C2',46,UU
C4-O3',46,UU
C4-N1,46,UU
C4-C5',47,UU
C4-O4',50,UU
C4-C4,2,UU
C4-OP1,6,UU
C4-O4,10,UU
C4-C2,1,UU
C4-C1',51,UU
C4-O2,51,UU
C4-N3,51,UU
C4-C6,49,UU
C4-O5',49,UU
C4-C3',3,UU
C4-C5,48,UU
